PId,IDE,Hours
1,Nobugs,12.65
1,VStudio,6.95
2,Nobugs,4.88
2,VStudio,9.85
3,Nobugs,9.02
3,VStudio,17.24
4,Nobugs,8.49
4,VStudio,14.71
5,Nobugs,7.71
5,VStudio,8.6
6,Nobugs,4.67
6,VStudio,6.11
7,Nobugs,5.37
7,VStudio,6.17
8,Nobugs,5.01
8,VStudio,6.96
9,Nobugs,4.28
9,VStudio,6.77
10,Nobugs,7.8
10,VStudio,8.35
11,Nobugs,9.9
11,VStudio,5.19
12,Nobugs,5.45
12,VStudio,9.35
13,Nobugs,4.97
13,VStudio,6.46
14,Nobugs,5.8
14,VStudio,15.51
15,Nobugs,4.25
15,VStudio,5.74
16,Nobugs,5.36
16,VStudio,13.36
17,Nobugs,4.15
17,VStudio,10.06
18,Nobugs,5.59
18,VStudio,27.09
19,Nobugs,4.63
19,VStudio,6.64
20,Nobugs,5.55
20,VStudio,22.75
21,Nobugs,10.65
21,VStudio,4.61
22,Nobugs,7.31
22,VStudio,9.2
23,Nobugs,4.49
23,VStudio,11.68
24,Nobugs,7.23
24,VStudio,6.07
25,Nobugs,3.15
25,VStudio,10.7
26,Nobugs,7.63
26,VStudio,12.1
27,Nobugs,5.78
27,VStudio,9.36
28,Nobugs,4.77
28,VStudio,9.22
29,Nobugs,3.16
29,VStudio,19.93
30,Nobugs,7.29
30,VStudio,3.73
