PId,Mouse,Order,Throughput
1,Logitech,1,3.63
1,Microsoft,2,3.1
1,Razer,3,5.91
2,Logitech,1,3.05
2,Microsoft,3,3.05
2,Razer,2,4.57
3,Logitech,2,4.87
3,Microsoft,1,3.86
3,Razer,3,3.86
4,Logitech,2,3.43
4,Microsoft,3,3.61
4,Razer,1,4.36
5,Logitech,3,3.74
5,Microsoft,1,3.85
5,Razer,2,3.26
6,Logitech,3,4.55
6,Microsoft,2,3.52
6,Razer,1,3.87
7,Logitech,1,3.09
7,Microsoft,2,3.05
7,Razer,3,4.22
8,Logitech,1,3.46
8,Microsoft,3,3.8
8,Razer,2,3.96
9,Logitech,2,4.73
9,Microsoft,1,3.82
9,Razer,3,5.49
10,Logitech,2,3.31
10,Microsoft,3,3.78
10,Razer,1,4.36
11,Logitech,3,4.56
11,Microsoft,1,3.96
11,Razer,2,5.17
12,Logitech,3,3.21
12,Microsoft,2,3.91
12,Razer,1,4.51
13,Logitech,1,4.42
13,Microsoft,2,3.67
13,Razer,3,4.37
14,Logitech,1,3.16
14,Microsoft,3,3.37
14,Razer,2,3.33
15,Logitech,2,3.02
15,Microsoft,1,3.4
15,Razer,3,4.75
16,Logitech,2,3.91
16,Microsoft,3,3.39
16,Razer,1,3.79
